City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
0.7381535947712419,5.25,0.25075225677031093,0.10366624525916561,0.9042145593869731,0.0,0.0,0.0,0.1875,0.0,0.4,0.7272727272727273,0.0,0.0,0.20228494623655913
0.8627450980392157,4.25,0.18054162487462388,0.07079646017699115,0.8333333333333334,0.0,0.009433962264150943,0.011494252873563218,0.125,0.0,0.4,0.8181818181818182,0.002197802197802198,0.022222222222222223,0.04771505376344086
0.3770424836601307,5.75,0.19759277833500502,0.10745891276864729,0.9310344827586207,0.0,0.0,0.0,0.1875,0.0,0.4,0.5454545454545454,0.002197802197802198,0.044444444444444446,0.06182795698924731
0.6515522875816994,2.595,0.23069207622868607,0.0493046776232617,0.9367816091954023,0.0,0.0,0.0,0.1875,0.0,0.4,0.5454545454545454,0.002197802197802198,0.0,0.07308467741935484
0.7071078431372549,10.5,0.42326980942828485,0.19848293299620734,0.9578544061302682,0.0,0.0,0.022988505747126436,0.25,0.16666666666666666,0.7,0.45454545454545453,0.004395604395604396,0.0,0.044522849462365593
0.6437908496732027,4.45,0.12637913741223672,0.0922882427307206,0.9885057471264368,0.0,0.018867924528301886,0.034482758620689655,0.1875,0.0,0.4,0.45454545454545453,0.006593406593406593,0.022222222222222223,0.058131720430107524
0.8202614379084967,4.25,0.16950852557673018,0.04298356510745891,0.9272030651340997,0.0,0.02830188679245283,0.0,0.1875,0.0,0.3,0.6363636363636364,0.006593406593406593,0.022222222222222223,0.2373991935483871
0.18913398692810457,8.25,0.41323971915747243,0.22629582806573956,0.9080459770114943,0.0,0.0,0.0,0.3125,0.0,0.4,0.7272727272727273,0.006593406593406593,0.022222222222222223,0.17053091397849462
0.9566993464052288,2.495,0.23470411233701102,0.0897597977243995,0.8045977011494253,0.0,0.03773584905660377,0.04597701149425287,0.1875,0.0,0.2,1.0,0.008791208791208791,0.06666666666666667,0.01898521505376344
0.031862745098039214,5.5,0.13640922768304914,0.07332490518331226,0.9425287356321839,0.0,0.018867924528301886,0.04597701149425287,0.125,0.0,0.4,0.45454545454545453,0.002197802197802198,0.022222222222222223,0.06804435483870967
0.5661764705882353,8.59,0.004453360080240723,0.3122629582806574,0.9904214559386973,0.0,0.04716981132075472,0.0,0.4375,0.3333333333333333,0.4,0.45454545454545453,0.01098901098901099,0.08888888888888889,0.0015120967741935483
0.6825980392156863,3.89,0.28986960882647944,0.0695322376738306,0.9061302681992337,0.0,0.018867924528301886,0.0,0.1875,0.0,0.4,0.6363636363636364,0.002197802197802198,0.022222222222222223,0.04351478494623656
0.7087418300653595,4.95,0.3711133400200602,0.11125158027812895,0.9348659003831418,0.0,0.05660377358490566,0.0,0.0625,0.0,0.2,0.6363636363636364,0.013186813186813187,0.0,0.2085013440860215
0.5669934640522876,5.6,0.0015145436308926779,0.09608091024020228,0.8946360153256705,0.0,0.03773584905660377,0.0,0.125,0.0,0.2,0.8181818181818182,0.015384615384615385,0.08888888888888889,0.04788306451612903
0.4722222222222222,4.25,0.5606820461384152,0.05815423514538559,0.8908045977011494,0.0,0.03773584905660377,0.0,0.1875,0.0,0.3,0.7272727272727273,0.017582417582417582,0.044444444444444446,0.006888440860215054
0.23651960784313725,4.15,0.1905717151454363,0.0986093552465234,0.9080459770114943,0.0,0.018867924528301886,0.0,0.1875,0.0,0.4,0.6363636363636364,0.01978021978021978,0.022222222222222223,0.20648521505376344
0.829248366013072,3.1,0.08124373119358075,0.03413400758533502,0.9808429118773946,0.0,0.0660377358490566,0.05747126436781609,0.125,0.0,0.4,0.45454545454545453,0.02197802197802198,0.022222222222222223,0.06821236559139784
